code,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,hold_sessions_to_exit,fixed10_return_pct
1419,2017-04-24,2017-04-25,625.0,2017-05-19,669.0,7.040000000000002,max15_next_open,15,6.400000000000006
1433,2016-12-20,2016-12-21,1423.3,2017-01-17,2223.3,56.20740532565167,max15_next_open,15,34.66591723459567
1433,2023-12-27,2023-12-28,1035.0,2024-01-15,1061.0,2.512077294685988,strict_gakutto_next_open,8,1.5458937198067568
1518,2022-07-13,2022-07-14,587.0,2022-07-29,651.0,10.902896081771729,strict_gakutto_next_open,10,10.902896081771729
1719,2019-05-30,2019-05-31,714.0,2019-06-18,753.0,5.462184873949583,strict_gakutto_next_open,12,6.582633053221287
1928,2020-04-07,2020-04-08,1791.5,2020-04-21,1729.0,-3.488696622941667,stop_gap,9,-2.7072285794027318
1942,2018-02-19,2018-02-20,1209.0,2018-03-01,1196.0,-1.0752688172043001,strict_gakutto_next_open,7,-3.2258064516129004
1964,2020-08-18,2020-08-19,1515.0,2020-08-20,1469.55,-3.0000000000000027,stop_-3%,1,-2.838283828382837
2130,2021-05-20,2021-05-21,2855.0,2021-06-02,2823.0,-1.1208406304728524,strict_gakutto_next_open,8,3.1173380035026232
2148,2019-04-23,2019-04-24,465.0,2019-04-26,451.05,-3.0000000000000027,stop_-3%,2,5.376344086021501
2148,2022-05-02,2022-05-06,1775.0,2022-05-09,1721.75,-3.0000000000000027,stop_-3%,1,-1.4084507042253502
2148,2022-09-15,2022-09-16,1677.0,2022-09-20,1626.69,-2.9999999999999916,stop_-3%,1,-0.3577817531305927
2153,2020-09-15,2020-09-16,1182.5,2020-10-05,1276.5,7.94926004228329,strict_gakutto_next_open,10,7.94926004228329
2170,2018-08-13,2018-08-14,1285.0,2018-08-16,1246.45,-2.9999999999999916,stop_-3%,2,-1.634241245136192
2307,2021-11-02,2021-11-04,650.0,2021-11-04,630.5,-3.0000000000000027,stop_-3%,0,14.46153846153846
2371,2018-11-22,2018-11-26,2049.0,2018-12-07,2239.0,9.272816007808693,strict_gakutto_next_open,9,7.027818448023426
2395,2022-07-29,2022-08-01,2088.0,2022-08-01,2025.36,-3.0000000000000027,stop_-3%,0,8.716475095785437
2413,2019-01-31,2019-02-01,1554.0,2019-02-08,1528.0,-1.6731016731016735,strict_gakutto_next_open,5,8.172458172458175
2462,2017-10-31,2017-11-01,2137.0,2017-11-02,2072.89,-3.0000000000000027,stop_-3%,1,-7.814693495554515
2492,2022-06-09,2022-06-10,463.0,2022-06-13,425.0,-8.207343412527003,stop_gap,1,-24.406047516198704
2585,2022-07-29,2022-08-01,450.0,2022-08-01,436.5,-3.0000000000000027,stop_-3%,0,11.40000000000001
2585,2023-02-02,2023-02-03,597.0,2023-02-06,579.09,-2.9999999999999916,stop_-3%,1,11.139028475711887
2585,2023-02-13,2023-02-14,624.8,2023-02-28,663.8,6.241997439180547,strict_gakutto_next_open,9,6.9622279129321285
2678,2021-10-08,2021-10-11,1673.0,2021-10-12,1622.81,-3.0000000000000027,stop_-3%,1,-4.602510460251041
2760,2021-03-05,2021-03-08,1245.0,2021-03-09,1207.6499999999999,-3.0000000000000138,stop_-3%,1,6.425702811244971
2760,2021-08-24,2021-08-25,1776.7,2021-09-15,2776.7,56.28412224911352,max15_next_open,15,18.196656723138393
2767,2023-07-19,2023-07-20,2949.0,2023-07-21,2845.0,-3.526619192946756,stop_gap,1,3.5944387928111166
2884,2019-04-01,2019-04-02,598.0,2019-04-02,580.06,-3.0000000000000138,stop_-3%,0,22.408026755852852
2980,2026-03-25,2026-03-26,2700.0,2026-04-16,3730.0,38.14814814814815,max15_next_open,15,30.740740740740733
3031,2021-01-15,2021-01-18,1732.0,2021-01-21,1724.0,-0.46189376443418473,strict_gakutto_next_open,3,9.988452655889146
