code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
1518,2019-02-08,2019-02-12,-5.273698264352477,2.6455026455026442,-18.04635761589404,0.9832756632064621,100287625.0,3.2048481431893454,0.8394963022186896,0
167A,2026-05-28,2026-05-29,-1.2631578947368438,2.4639211545230553,-17.652173913043477,0.31946540834422166,764184135.0,2.0625840581009593,1.0853528492338116,1
1860,2020-04-30,2020-05-01,2.698412698412689,3.151927437641724,-16.886543535620056,1.3348164627363657,362391810.0,1.0484453470882655,0.18079679731388687,0
1879,2019-10-07,2019-10-08,8.07692307692307,3.1807317521603236,-15.359477124183007,0.25233939648827697,50643925.0,0.8169463214638221,0.36706869428422273,3
1899,2024-09-24,2024-09-25,-3.392857142857142,2.630221763795771,-16.060606060606062,1.0155872177374459,33347800.0,0.8239095315024233,0.3903660602489367,1
1930,2022-01-05,2022-01-06,-10.497237569060768,2.4855537720706264,-16.0377358490566,1.2779280812713845,16412154.4,0.9647188533627343,0.31180203887575253,1
1938,2021-11-15,2021-11-16,-13.890634820867376,3.156358328772122,-15.35135135135135,0.2537739057635324,14851145.0,1.3374805598755832,0.6263048016701633,3
2002,2019-10-15,2019-10-16,5.528846153846145,1.9348127600554783,-17.600000000000005,0.47906352101665384,1619390145.0,1.1475420010302433,0.07381104372805591,0
2060,2019-10-10,2019-10-11,3.0864197530864113,2.7777777777777777,-16.06217616580311,0.49862877088007185,66525840.0,0.460415084168484,0.09923096005952647,1
2148,2018-03-23,2018-03-26,-21.251475796930343,3.7459898093979995,-15.324384787472034,1.1179462912575433,29219255.0,10.404165633523432,0.4387247733255384,3
2148,2022-03-01,2022-03-02,-2.487562189054726,4.120712114633088,-19.005416051206304,0.45701300340865725,188264320.0,1.222279525528623,0.3619363595234404,1
2157,2023-03-02,2023-03-03,-0.9533898305084776,2.2154316271963332,-17.036379769299025,1.086764446015187,374875260.0,0.7359402460456942,0.49383795122803775,0
2307,2024-09-24,2024-09-25,1.7632241813602123,4.114189756507137,-18.9795918367347,0.6942296456679209,38711205.0,2.3774100500986792,0.139936516604644,2
2326,2018-09-25,2018-09-26,-6.003752345215762,2.65171858216971,-17.519379844961236,0.2558635394456221,536796675.0,0.9821812449242823,0.03480143845946415,1
2327,2020-05-21,2020-05-22,6.638418079096042,3.188054882970137,-15.714285714285714,1.2266035362876293,911210360.0,0.9252242672936666,0.578828894670691,1
2413,2024-03-25,2024-03-26,-2.1423470602237593,2.5078688191694587,-15.815715995213397,0.9358224346803778,6132132452.5,0.7662655068961493,0.17664470543303779,0
2492,2024-03-22,2024-03-25,-7.469879518072286,4.634146341463414,-17.338709677419352,0.9491457688080684,624158690.0,0.5329929249307588,0.20783847980996306,1
2579,2022-01-17,2022-01-18,-1.753104455807164,2.1889400921658986,-15.958102279728891,0.5421579664632192,627963500.0,0.5758004122109398,0.09723900167957211,0
2585,2024-04-26,2024-04-30,9.82318271119842,3.845668894212585,-16.63545150501673,1.565153119319218,534157124.0,1.69598971013827,0.5998918227860361,1
2593,2022-02-08,2022-02-09,1.3782542113323082,2.6286601597160604,-16.795865633074936,0.425230333097093,761408150.0,1.4109650739057447,0.5004170141784892,1
2681,2024-04-12,2024-04-15,0.05027652086475598,2.359566581123467,-19.807923169267706,0.29403054533145845,588092790.0,1.4249809472847854,0.8478687279859898,1
2742,2019-03-05,2019-03-06,1.2628624883068262,1.8627775936360624,-16.569879984514134,0.6114383714860949,72530570.0,0.23767082590612001,0.3761209516045305,0
2767,2021-06-28,2021-06-29,11.752577319587632,3.021413904370783,-17.45762711864407,0.9161082364916417,50923435.0,1.0367719760817364,0.4034630579137666,1
