code,signal_date,entry_date,exit_date,return_pct,hold_sessions,exit_reason,variant
1518,2019-02-08,2019-02-12,2019-02-19,3.8050734312416568,5,fixed5,fixed5
2593,2022-02-08,2022-02-09,2022-02-17,3.369065849923425,5,fixed5,fixed5
3101,2026-05-08,2026-05-11,2026-05-18,6.627296587926512,5,fixed5,fixed5
3107,2020-10-23,2020-10-26,2020-11-02,-2.8315946348733245,5,fixed5,fixed5
3393,2023-02-13,2023-02-14,2023-02-21,1.3605442176870763,5,fixed5,fixed5
3660,2024-12-09,2024-12-10,2024-12-17,-1.7738359201773801,5,fixed5,fixed5
3663,2021-03-31,2021-04-01,2021-04-08,3.5576923076923173,5,fixed5,fixed5
3922,2020-12-24,2020-12-25,2021-01-05,7.636887608069154,5,fixed5,fixed5
4180,2022-06-28,2022-06-29,2022-07-06,10.035842293906816,5,fixed5,fixed5
4246,2020-08-11,2020-08-12,2020-08-19,-0.9487666034155628,5,fixed5,fixed5
4345,2020-04-28,2020-04-30,2020-05-12,14.098360655737707,5,fixed5,fixed5
4385,2021-01-04,2021-01-05,2021-01-13,13.4020618556701,5,fixed5,fixed5
4483,2022-06-24,2022-06-27,2022-07-04,-0.5016722408026753,5,fixed5,fixed5
4911,2022-06-29,2022-06-30,2022-07-07,1.2143514259429722,5,fixed5,fixed5
5706,2019-07-19,2019-07-22,2019-07-29,-4.23728813559322,5,fixed5,fixed5
5714,2026-05-07,2026-05-08,2026-05-15,19.26743602609131,5,fixed5,fixed5
5901,2018-03-27,2018-03-28,2018-04-04,-0.25706940874036244,5,fixed5,fixed5
5975,2026-05-14,2026-05-15,2026-05-22,0.9213051823416585,5,fixed5,fixed5
6135,2024-09-25,2024-09-26,2024-10-03,5.423728813559325,5,fixed5,fixed5
6200,2021-09-27,2021-09-28,2021-10-05,-5.852534562211986,5,fixed5,fixed5
6240,2022-04-19,2022-04-20,2022-04-27,-3.3333333333333326,5,fixed5,fixed5
6272,2020-04-30,2020-05-01,2020-05-13,6.229508196721301,5,fixed5,fixed5
6310,2026-05-01,2026-05-07,2026-05-14,5.01408450704226,5,fixed5,fixed5
6351,2024-09-19,2024-09-20,2024-09-30,0.8684863523573227,5,fixed5,fixed5
6440,2019-02-14,2019-02-15,2019-02-22,2.2691705790297334,5,fixed5,fixed5
6590,2023-11-09,2023-11-10,2023-11-17,0.13368983957218195,5,fixed5,fixed5
6619,2022-04-15,2022-04-18,2022-04-25,4.017372421281218,5,fixed5,fixed5
6652,2019-06-24,2019-06-25,2019-07-02,5.675539929683571,5,fixed5,fixed5
6754,2017-09-19,2017-09-20,2017-09-27,-2.2727272727272707,5,fixed5,fixed5
6925,2020-05-20,2020-05-21,2020-05-28,-4.534973097617212,5,fixed5,fixed5
7246,2020-05-27,2020-05-28,2020-06-04,3.6363636363636376,5,fixed5,fixed5
7259,2026-04-30,2026-05-01,2026-05-13,-6.281559280953342,5,fixed5,fixed5
7721,2017-12-27,2017-12-28,2018-01-10,0.5722460658083017,5,fixed5,fixed5
7868,2024-04-15,2024-04-16,2024-04-23,1.726618705035965,5,fixed5,fixed5
8043,2019-02-12,2019-02-13,2019-02-20,-1.46520146520146,5,fixed5,fixed5
8050,2020-05-26,2020-05-27,2020-06-03,4.299889746416752,5,fixed5,fixed5
8167,2018-08-30,2018-08-31,2018-09-07,-2.3870967741935534,5,fixed5,fixed5
8570,2020-10-02,2020-10-05,2020-10-12,9.170731707317081,5,fixed5,fixed5
8804,2023-02-24,2023-02-27,2023-03-06,2.4539877300613577,5,fixed5,fixed5
9629,2026-07-02,2026-07-03,2026-07-10,1.2445095168374776,5,fixed5,fixed5
9842,2020-04-28,2020-04-30,2020-05-12,8.137254901960777,5,fixed5,fixed5
1518,2019-02-08,2019-02-12,2019-02-26,-5.273698264352477,10,fixed10,fixed10
2593,2022-02-08,2022-02-09,2022-02-25,1.3782542113323082,10,fixed10,fixed10
3101,2026-05-08,2026-05-11,2026-05-25,7.8083989501312345,10,fixed10,fixed10
3107,2020-10-23,2020-10-26,2020-11-10,-0.44709388971684305,10,fixed10,fixed10
3393,2023-02-13,2023-02-14,2023-03-01,33.52769679300292,10,fixed10,fixed10
3660,2024-12-09,2024-12-10,2024-12-24,3.7694013303769314,10,fixed10,fixed10
3663,2021-03-31,2021-04-01,2021-04-15,17.653846153846153,10,fixed10,fixed10
3922,2020-12-24,2020-12-25,2021-01-13,26.512968299711815,10,fixed10,fixed10
4180,2022-06-28,2022-06-29,2022-07-13,4.1816009557944955,10,fixed10,fixed10
4246,2020-08-11,2020-08-12,2020-08-26,4.933586337760909,10,fixed10,fixed10
4345,2020-04-28,2020-04-30,2020-05-19,15.081967213114744,10,fixed10,fixed10
4385,2021-01-04,2021-01-05,2021-01-20,10.103092783505163,10,fixed10,fixed10
